1,2/28/2021,Riva Selwood,unavailable,,Marlin Stockill,20
2,1/11/2023,Haleigh Pancoast,Raphicerus campestris,8/8/2021,Aland Pettisall,14
3,10/27/2021,Faustine Gaitskill,Cordylus giganteus,,Brok Patten,18
4,4/26/2021,Bev Fleckness,Dicrostonyx groenlandicus,3/26/2020,Isador Tace,14
5,10/26/2022,Eve O'Noulane,Spermophilus richardsonii,,Babita Llop,11
6,10/14/2023,Eryn Rollins,Bison bison,7/11/2023,Cherye Nicholl,13
7,3/7/2024,Gaultiero Oldred,Castor canadensis,,Breanne McCaw,16
8,8/23/2021,Gillian Arlt,Taurotagus oryx,9/26/2023,Earvin Burchatt,14
9,8/30/2023,Janet Dangerfield,Cereopsis novaehollandiae,,Sarita Emburey,5
10,12/24/2021,Leonerd Assad,Ara ararauna,,Nikolai Atherton,15
11,1/26/2023,Karola Oddey,Streptopelia senegalensis,7/10/2022,Lucias Nannini,10
12,10/4/2020,Samara Stanley,Bison bison,,Rhys Wildin,9
13,2/25/2021,Alexandr Miquelet,Phascogale calura,,Michaeline Downer,18
14,11/30/2020,Burnaby Habbijam,Branta canadensis,,Brigg Glisane,9
15,12/31/2023,Bess Whewill,Actophilornis africanus,2/15/2021,Rees Welsh,9
16,10/28/2023,Gerek Jimeno,Cygnus buccinator,2/7/2022,Ada Poe,7
17,4/14/2023,Kristyn Warman,Crocodylus niloticus,7/29/2024,Carlyn Gatherell,6
18,11/11/2020,Carl Raubenheimer,Plegadis falcinellus,,Verina Zuan,6
19,4/23/2021,Malcolm Shevelin,Cygnus buccinator,4/30/2020,Ruben Maffia,19
20,8/28/2022,Ree Ofener,Odocoilenaus virginianus,5/3/2020,Daniel Heeks,20
21,6/22/2021,Demetra Gregr,Phalaropus lobatus,,Marj O'Hogertie,6
22,11/4/2023,Gilly Corsham,Petaurus norfolcensis,12/10/2022,Ashley Roseblade,11
23,6/24/2022,Cindra Middup,Smithopsis crassicaudata,11/24/2020,Vaclav Sprigin,10
24,9/21/2022,Oran Lugton,Lamprotornis sp.,1/20/2023,Lindsay Di Meo,8
25,5/20/2022,Bell Styles,Paradoxurus hermaphroditus,5/22/2023,Claudine Laphorn,12
26,3/1/2024,Marcelline Pere,Pelecans onocratalus,7/31/2022,Kimmy Perkis,17
27,9/28/2020,Thatcher McNeilley,Rana sp.,11/6/2023,Karlyn Swyer-Sexey,19
28,11/8/2022,Doloritas Chaston,Phalacrocorax niger,3/27/2024,Paula Peplay,14
29,8/22/2022,Thekla Coulston,Papio ursinus,6/22/2022,Dannie Pechold,5
